,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
207,2020-01-07,1,24,25,27,31,37,8,5,1,1,0,3,2,0
208,2020-01-02,15,17,29,30,34,37,40,4,2,0,2,2,2,0
209,2019-12-31,5,10,18,20,28,33,17,2,4,2,2,1,1,0
210,2019-12-28,1,22,25,27,31,36,47,4,2,1,0,3,2,0
211,2019-12-24,5,11,14,23,30,32,20,3,3,1,2,2,1,0
212,2019-12-22,11,22,24,26,41,42,2,2,4,0,1,3,0,2
213,2019-12-19,22,24,28,31,35,39,12,3,3,0,0,3,3,0
214,2019-12-17,3,20,23,30,34,41,47,3,3,1,1,2,1,1
215,2019-12-14,2,4,6,8,28,29,5,1,5,4,0,2,0,0
216,2019-12-12,6,21,32,35,39,49,15,4,2,1,0,1,3,1
217,2019-12-10,5,6,11,12,28,35,17,3,3,2,2,1,1,0
218,2019-12-07,14,25,26,30,32,47,4,2,4,0,1,3,1,1
219,2019-12-05,2,6,8,16,23,31,1,2,4,3,1,1,1,0
220,2019-12-03,1,15,23,29,45,47,6,6,0,1,1,2,0,2
221,2019-11-30,1,10,18,24,40,49,7,2,4,2,1,1,1,1
222,2019-11-28,22,23,29,36,41,44,2,3,3,0,0,3,1,2
223,2019-11-26,5,9,15,25,42,45,38,5,1,2,1,1,0,2
224,2019-11-24,1,20,28,30,35,46,15,2,4,1,1,2,1,1
225,2019-11-21,3,4,5,10,35,38,7,3,3,4,0,0,2,0
226,2019-11-19,1,4,12,13,24,42,48,2,4,2,2,1,0,1
227,2019-11-16,10,23,28,39,44,47,13,3,3,1,0,2,1,2
228,2019-11-14,2,3,13,18,31,49,14,4,2,2,2,0,1,1
229,2019-11-10,6,17,18,23,31,46,44,3,3,1,2,1,1,1
230,2019-11-07,7,20,30,33,34,44,46,2,4,1,1,1,2,1
231,2019-11-02,13,15,25,30,40,46,26,3,3,0,2,2,1,1
232,2019-10-29,2,10,13,19,20,24,17,2,4,2,3,1,0,0
233,2019-10-26,1,17,24,30,40,49,48,3,3,1,1,2,1,1
234,2019-10-24,7,10,16,23,27,34,24,3,3,2,1,2,1,0
235,2019-10-22,1,6,11,31,41,47,32,5,1,2,1,0,1,2
236,2019-10-19,1,6,19,22,42,44,25,2,4,2,1,1,0,2
237,2019-10-17,14,18,19,21,45,47,49,4,2,0,3,1,0,2
238,2019-10-13,10,16,27,29,37,42,44,3,3,1,1,2,1,1
239,2019-10-08,13,23,35,36,43,47,16,5,1,0,1,1,2,2
240,2019-10-03,1,12,13,15,19,45,44,5,1,1,4,0,0,1
241,2019-09-29,2,3,7,10,18,48,33,2,4,4,1,0,0,1
242,2019-09-26,2,3,11,20,27,46,4,3,3,2,2,1,0,1
243,2019-09-24,6,17,44,45,46,49,41,3,3,1,1,0,0,4
244,2019-09-22,3,28,39,40,42,44,37,2,4,1,0,1,2,2
245,2019-09-19,8,17,34,39,42,44,7,2,4,1,1,0,2,2
246,2019-09-17,12,20,22,26,30,36,2,0,6,0,2,3,1,0
247,2019-09-14,1,4,7,12,19,28,43,3,3,3,2,1,0,0
248,2019-09-12,5,23,24,25,31,33,7,5,1,1,0,3,2,0
249,2019-09-10,11,12,13,28,43,49,47,4,2,0,3,1,0,2
250,2019-09-07,7,8,12,25,43,45,13,4,2,2,1,1,0,2
251,2019-09-05,3,4,18,29,41,44,39,3,3,2,1,1,0,2
252,2019-09-03,2,8,17,24,27,39,10,3,3,2,1,2,1,0
253,2019-08-31,1,6,14,24,32,44,5,1,5,2,1,1,1,1
254,2019-08-29,8,24,26,37,38,44,18,1,5,1,0,2,2,1
255,2019-08-27,6,18,29,33,43,46,16,3,3,1,1,1,1,2
256,2019-08-24,1,10,21,31,47,49,13,5,1,2,0,1,1,2
257,2019-08-22,1,4,5,6,42,43,8,3,3,4,0,0,0,2
258,2019-08-20,12,15,16,23,32,35,2,3,3,0,3,1,2,0
259,2019-08-17,4,9,20,26,32,44,11,1,5,2,1,1,1,1
260,2019-08-15,2,13,23,35,38,46,17,3,3,1,1,1,2,1
261,2019-08-13,10,14,16,29,30,43,11,2,4,1,2,2,0,1
262,2019-08-10,15,22,42,44,48,49,6,2,4,0,1,1,0,4
263,2019-08-08,8,9,19,25,30,44,37,3,3,2,1,2,0,1
264,2019-08-06,5,6,15,21,22,37,36,4,2,2,1,2,1,0
265,2019-08-03,23,24,27,28,37,43,16,4,2,0,0,4,1,1
266,2019-08-01,13,18,20,21,43,49,30,4,2,0,3,1,0,2
267,2019-07-30,3,16,19,22,41,44,29,3,3,1,2,1,0,2
268,2019-07-27,4,14,19,24,39,45,8,3,3,1,2,1,1,1
269,2019-07-25,7,10,11,16,18,35,43,3,3,2,3,0,1,0
270,2019-07-23,14,19,25,38,39,42,46,3,3,0,2,1,2,1
271,2019-07-20,26,27,30,33,44,47,37,3,3,0,0,3,1,2
272,2019-07-18,2,4,8,11,17,31,19,3,3,3,2,0,1,0
273,2019-07-16,6,16,22,28,37,45,13,2,4,1,1,2,1,1
274,2019-07-13,12,14,32,35,38,46,16,1,5,0,2,0,3,1
275,2019-07-11,3,6,26,27,32,49,29,3,3,2,0,2,1,1
276,2019-07-09,3,5,20,31,39,42,25,4,2,2,1,0,2,1
277,2019-07-06,7,8,10,11,28,42,29,2,4,3,1,1,0,1
278,2019-07-04,1,2,12,15,24,44,14,2,4,2,2,1,0,1
279,2019-07-02,13,14,15,42,45,48,2,3,3,0,3,0,0,3
280,2019-06-29,9,13,22,29,31,46,45,4,2,1,1,2,1,1
281,2019-06-27,12,20,33,42,46,47,27,2,4,0,2,0,1,3
282,2019-06-25,23,25,29,32,40,46,13,3,3,0,0,3,2,1
283,2019-06-22,13,29,30,33,43,47,16,5,1,0,1,2,1,2
284,2019-06-20,9,11,15,21,25,33,46,6,0,1,2,2,1,0
285,2019-06-18,18,23,26,29,35,48,36,3,3,0,1,3,1,1
286,2019-06-15,7,8,17,30,42,44,24,2,4,2,1,1,0,2
287,2019-06-13,3,6,21,31,33,38,45,4,2,2,0,1,3,0
288,2019-06-11,8,19,20,21,25,37,13,4,2,1,2,2,1,0
289,2019-06-09,3,8,24,27,28,49,44,3,3,2,0,3,0,1
290,2019-06-06,6,13,21,24,32,47,38,3,3,1,1,2,1,1
291,2019-06-04,16,21,24,28,37,40,48,2,4,0,1,3,2,0
292,2019-06-01,3,13,19,23,35,43,26,6,0,1,2,1,1,1
293,2019-05-30,12,15,16,31,36,46,3,2,4,0,3,0,2,1
294,2019-05-28,22,29,37,42,45,49,47,4,2,0,0,2,1,3
295,2019-05-25,12,14,23,30,40,48,1,1,5,0,2,2,1,1
296,2019-05-23,11,13,14,17,33,43,27,5,1,0,4,0,1,1
297,2019-05-21,4,7,21,24,35,41,18,4,2,2,0,2,1,1
298,2019-05-19,1,2,9,16,30,41,35,3,3,3,1,1,0,1
299,2019-05-16,1,4,7,23,37,38,34,4,2,3,0,1,2,0
300,2019-05-14,10,12,14,30,37,41,5,2,4,1,2,1,1,1
301,2019-05-09,3,4,5,24,29,32,2,3,3,3,0,2,1,0
302,2019-05-07,6,12,35,39,42,44,22,2,4,1,1,0,2,2
303,2019-05-04,6,13,19,20,24,35,43,3,3,1,3,1,1,0
304,2019-05-02,1,6,19,23,45,47,49,5,1,2,1,1,0,2
305,2019-04-30,1,29,32,43,45,49,5,5,1,1,0,1,1,3
306,2019-04-27,2,8,14,21,32,35,4,2,4,2,1,1,2,0
307,2019-04-25,11,13,18,21,28,34,19,3,3,0,3,2,1,0
308,2019-04-20,28,30,32,37,39,47,23,3,3,0,0,2,3,1
309,2019-04-16,11,20,30,32,33,43,34,3,3,0,2,1,2,1
310,2019-04-13,3,15,22,35,40,49,39,4,2,1,1,1,2,1
311,2019-04-11,6,18,32,38,41,45,33,2,4,1,1,0,2,2
312,2019-04-09,3,14,17,23,32,43,36,4,2,1,2,1,1,1
313,2019-04-06,8,21,34,37,41,45,49,4,2,1,0,1,2,2
314,2019-04-04,29,34,38,42,44,47,36,2,4,0,0,1,2,3
315,2019-04-02,6,10,15,21,24,28,49,2,4,2,1,3,0,0
316,2019-03-30,15,17,18,37,39,49,31,5,1,0,3,0,2,1
317,2019-03-28,3,5,17,23,41,44,40,5,1,2,1,1,0,2
318,2019-03-26,2,3,10,21,31,35,11,4,2,3,0,1,2,0
319,2019-03-23,10,11,15,39,46,49,21,4,2,1,2,0,1,2
320,2019-03-21,7,12,22,32,37,45,47,3,3,1,1,1,2,1
321,2019-03-19,4,18,23,38,40,46,15,1,5,1,1,1,2,1
322,2019-03-16,5,9,12,23,31,43,29,5,1,2,1,1,1,1
323,2019-03-14,4,10,25,28,40,43,39,2,4,2,0,2,1,1
324,2019-03-12,6,21,27,33,38,47,46,4,2,1,0,2,2,1
325,2019-03-09,13,32,34,35,41,46,30,3,3,0,1,0,3,2
