,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
750,2016-05-21,6,13,23,25,44,48,11,3,3,1,1,2,0,2
751,2016-05-19,2,8,20,24,37,39,18,2,4,2,1,1,2,0
752,2016-05-17,1,19,23,24,32,40,35,3,3,1,1,2,2,0
753,2016-05-15,2,11,25,28,36,46,42,2,4,1,1,2,1,1
754,2016-05-12,4,12,19,20,27,49,21,3,3,1,3,1,0,1
755,2016-05-10,20,26,28,32,40,45,43,1,5,0,1,2,2,1
756,2016-05-05,6,7,12,15,27,36,29,3,3,2,2,1,1,0
757,2016-04-30,11,20,28,29,44,49,40,3,3,0,2,2,0,2
758,2016-04-26,1,3,25,27,28,45,12,5,1,2,0,3,0,1
759,2016-04-23,2,10,16,35,46,47,49,2,4,2,1,0,1,2
760,2016-04-21,3,5,14,15,39,41,21,5,1,2,2,0,1,1
761,2016-04-19,5,8,30,34,45,48,3,2,4,2,0,1,1,2
762,2016-04-17,16,24,28,35,45,46,38,2,4,0,1,2,1,2
763,2016-04-14,14,21,25,27,44,46,3,3,3,0,1,3,0,2
764,2016-04-12,21,25,28,33,46,48,10,3,3,0,0,3,1,2
765,2016-04-09,3,6,13,38,43,44,31,3,3,2,1,0,1,2
766,2016-04-07,8,21,25,32,34,45,31,3,3,1,0,2,2,1
767,2016-04-05,4,10,21,30,35,43,7,3,3,2,0,2,1,1
768,2016-04-02,4,6,29,34,36,45,47,2,4,2,0,1,2,1
769,2016-03-29,9,12,13,22,30,31,28,3,3,1,2,2,1,0
770,2016-03-26,17,24,38,44,46,47,27,2,4,0,1,1,1,3
771,2016-03-24,16,18,21,25,35,46,13,3,3,0,2,2,1,1
772,2016-03-22,5,10,18,24,27,49,39,3,3,2,1,2,0,1
773,2016-03-19,23,25,35,39,42,43,14,5,1,0,0,2,2,2
774,2016-03-17,3,8,15,16,17,38,35,3,3,2,3,0,1,0
775,2016-03-15,1,6,19,26,28,41,39,3,3,2,1,2,0,1
776,2016-03-12,3,23,33,36,41,49,2,5,1,1,0,1,2,2
777,2016-03-10,9,14,24,30,33,48,43,2,4,1,1,2,1,1
778,2016-03-08,3,4,16,30,34,39,14,2,4,2,1,1,2,0
779,2016-03-05,17,26,29,32,48,49,40,3,3,0,1,2,1,2
780,2016-03-03,1,2,5,7,16,45,33,4,2,4,1,0,0,1
781,2016-03-01,11,16,19,21,30,33,31,4,2,0,3,2,1,0
782,2016-02-27,6,9,11,20,27,44,42,3,3,2,2,1,0,1
783,2016-02-25,3,6,22,24,45,47,7,3,3,2,0,2,0,2
784,2016-02-23,9,15,24,27,44,45,47,4,2,1,1,2,0,2
785,2016-02-20,12,20,39,44,47,49,45,3,3,0,2,0,1,3
786,2016-02-18,13,20,38,39,41,45,46,4,2,0,2,0,2,2
787,2016-02-16,18,21,22,34,42,43,24,2,4,0,1,2,1,2
788,2016-02-13,8,14,24,29,36,43,31,2,4,1,1,2,1,1
789,2016-02-11,3,4,17,30,35,47,10,4,2,2,1,1,1,1
790,2016-02-07,11,13,15,19,21,29,41,6,0,0,4,2,0,0
791,2016-02-04,7,13,15,35,38,45,32,5,1,1,2,0,2,1
792,2016-02-02,18,28,30,33,34,36,2,1,5,0,1,2,3,0
793,2016-01-30,1,5,29,32,39,44,4,4,2,2,0,1,2,1
794,2016-01-28,8,20,30,34,42,48,36,0,6,1,1,1,1,2
795,2016-01-26,5,9,22,26,27,40,13,3,3,2,0,3,1,0
796,2016-01-23,7,8,12,14,23,32,5,2,4,2,2,1,1,0
797,2016-01-21,2,12,33,40,45,47,9,3,3,1,1,0,2,2
798,2016-01-19,8,18,20,25,30,39,13,2,4,1,2,2,1,0
799,2016-01-16,1,2,6,37,40,43,24,3,3,3,0,0,2,1
800,2016-01-14,1,2,10,23,32,49,26,3,3,3,0,1,1,1
801,2016-01-12,8,13,15,35,44,45,47,4,2,1,2,0,1,2
802,2016-01-10,4,8,15,18,30,45,38,2,4,2,2,1,0,1
803,2016-01-07,6,9,11,29,43,47,8,5,1,2,1,1,0,2
804,2016-01-05,2,5,7,18,30,45,11,3,3,3,1,1,0,1
805,2016-01-02,6,8,11,32,34,41,47,2,4,2,1,0,2,1
806,2015-12-31,2,11,12,22,24,25,3,2,4,1,2,3,0,0
807,2015-12-29,3,5,20,30,33,38,28,3,3,2,1,1,2,0
808,2015-12-26,1,8,33,37,42,47,7,4,2,2,0,0,2,2
809,2015-12-24,12,18,20,28,33,47,25,2,4,0,3,1,1,1
810,2015-12-22,11,28,36,38,44,48,26,1,5,0,1,1,2,2
811,2015-12-20,6,11,16,20,43,45,21,3,3,1,3,0,0,2
812,2015-12-17,18,20,24,36,44,45,39,1,5,0,2,1,1,2
813,2015-12-15,18,22,40,41,48,49,42,2,4,0,1,1,1,3
814,2015-12-12,16,18,27,35,42,44,33,2,4,0,2,1,1,2
815,2015-12-10,9,24,29,32,34,47,42,3,3,1,0,2,2,1
816,2015-12-08,9,10,25,40,48,49,32,3,3,2,0,1,1,2
817,2015-12-05,6,16,19,34,35,46,9,2,4,1,2,0,2,1
818,2015-12-03,4,11,14,41,42,44,10,2,4,1,2,0,0,3
819,2015-12-01,8,9,10,22,33,40,28,2,4,3,0,1,2,0
820,2015-11-28,15,21,24,25,28,31,48,4,2,0,1,4,1,0
821,2015-11-26,10,17,25,26,39,44,7,3,3,1,1,2,1,1
822,2015-11-24,17,21,22,36,41,44,38,3,3,0,1,2,1,2
823,2015-11-22,9,20,30,33,38,39,37,3,3,1,1,1,3,0
824,2015-11-19,13,15,25,40,41,48,19,4,2,0,2,1,1,2
825,2015-11-17,12,13,31,33,35,47,21,5,1,0,2,0,3,1
826,2015-11-15,13,15,24,28,41,45,20,4,2,0,2,2,0,2
827,2015-11-12,10,20,24,28,33,45,19,2,4,1,1,2,1,1
828,2015-11-10,4,14,28,42,43,47,3,2,4,1,1,1,0,3
829,2015-11-07,6,16,27,34,44,48,1,1,5,1,1,1,1,2
830,2015-11-05,5,10,11,25,27,44,7,4,2,2,1,2,0,1
831,2015-11-03,7,12,13,25,34,38,15,3,3,1,2,1,2,0
832,2015-10-31,4,10,28,37,42,48,8,1,5,2,0,1,1,2
833,2015-10-29,4,5,6,22,31,46,47,2,4,3,0,1,1,1
834,2015-10-27,20,22,31,33,39,44,10,3,3,0,1,1,3,1
835,2015-10-24,18,27,28,34,35,45,2,3,3,0,1,2,2,1
836,2015-10-21,1,14,16,25,40,48,17,2,4,1,2,1,1,1
837,2015-10-19,7,11,15,38,39,46,25,4,2,1,2,0,2,1
838,2015-10-17,2,12,19,33,34,48,24,2,4,1,2,0,2,1
839,2015-10-15,17,18,26,30,33,34,29,2,4,0,2,2,2,0
840,2015-10-13,1,4,22,30,33,34,26,2,4,2,0,2,2,0
841,2015-10-11,4,21,22,35,36,46,40,2,4,1,0,2,2,1
842,2015-10-08,8,17,28,34,39,40,14,2,4,1,1,1,3,0
843,2015-10-06,2,7,9,22,32,46,26,2,4,3,0,1,1,1
844,2015-10-03,8,10,16,30,39,40,6,1,5,2,1,1,2,0
845,2015-09-30,9,10,23,28,37,46,34,3,3,2,0,2,1,1
846,2015-09-26,6,15,16,18,37,43,2,3,3,1,3,0,1,1
847,2015-09-24,4,10,15,16,24,28,49,1,5,2,2,2,0,0
848,2015-09-22,2,11,12,25,36,43,10,3,3,1,2,1,1,1
849,2015-09-17,1,4,9,17,35,41,37,5,1,3,1,0,1,1
850,2015-09-15,3,5,17,22,25,27,46,5,1,2,1,3,0,0
851,2015-09-12,5,13,21,25,38,40,17,4,2,1,1,2,2,0
852,2015-09-10,1,11,13,23,35,36,34,5,1,1,2,1,2,0
853,2015-09-08,1,4,13,22,32,41,26,3,3,2,1,1,1,1
854,2015-09-05,15,16,20,26,36,40,46,1,5,0,3,1,2,0
855,2015-09-03,12,16,34,36,42,45,41,1,5,0,2,0,2,2
856,2015-09-01,5,6,8,10,31,36,17,2,4,4,0,0,2,0
857,2015-08-29,9,22,28,32,37,39,47,3,3,1,0,2,3,0
858,2015-08-27,9,13,29,30,39,45,48,5,1,1,1,2,1,1
859,2015-08-25,3,15,16,39,41,42,36,4,2,1,2,0,1,2
860,2015-08-22,2,26,31,32,36,37,12,2,4,1,0,1,4,0
861,2015-08-20,4,5,18,23,32,44,6,2,4,2,1,1,1,1
862,2015-08-18,7,17,34,41,43,49,1,5,1,1,1,0,1,3
863,2015-08-15,2,6,13,25,30,33,20,3,3,2,1,2,1,0
864,2015-08-13,1,4,8,21,22,24,46,2,4,3,0,3,0,0
865,2015-08-11,22,26,27,28,36,47,12,2,4,0,0,4,1,1
866,2015-08-08,10,12,19,25,42,46,37,2,4,1,2,1,0,2
867,2015-08-06,22,23,35,40,41,42,16,3,3,0,0,2,2,2
868,2015-08-04,5,9,13,15,21,23,12,6,0,2,2,2,0,0
869,2015-08-01,14,20,28,31,32,47,18,2,4,0,2,1,2,1
870,2015-07-30,4,5,11,17,24,48,46,3,3,2,2,1,0,1
871,2015-07-28,12,25,32,33,34,35,45,3,3,0,1,1,4,0
872,2015-07-26,4,11,15,26,28,30,13,2,4,1,2,3,0,0
873,2015-07-23,10,33,40,43,45,49,38,4,2,1,0,0,2,3
874,2015-07-21,4,14,15,19,41,42,10,3,3,1,3,0,0,2
875,2015-07-18,13,20,23,24,46,47,39,3,3,0,2,2,0,2
876,2015-07-16,16,18,22,23,35,38,25,2,4,0,2,2,2,0
877,2015-07-14,7,8,10,13,20,38,5,2,4,3,2,0,1,0
878,2015-07-11,2,5,17,22,27,28,37,3,3,2,1,3,0,0
879,2015-07-07,9,19,28,29,38,40,33,3,3,1,1,2,2,0
880,2015-07-04,9,24,32,34,43,47,35,3,3,1,0,1,2,2
881,2015-07-02,4,11,23,32,44,48,49,2,4,1,1,1,1,2
882,2015-06-30,12,14,21,27,38,43,15,3,3,0,2,2,1,1
883,2015-06-28,8,9,18,33,41,43,15,4,2,2,1,0,1,2
884,2015-06-25,1,5,26,28,40,49,15,3,3,2,0,2,1,1
885,2015-06-23,3,10,26,33,42,46,44,2,4,2,0,1,1,2
886,2015-06-20,12,16,31,34,42,48,37,1,5,0,2,0,2,2
887,2015-06-18,4,11,12,24,35,46,3,2,4,1,2,1,1,1
888,2015-06-16,13,16,24,26,40,44,42,1,5,0,2,2,1,1
889,2015-06-13,10,12,24,25,26,33,23,2,4,1,1,3,1,0
890,2015-06-11,10,13,35,38,42,44,27,2,4,1,1,0,2,2
891,2015-06-09,7,12,16,17,20,25,31,3,3,1,4,1,0,0
892,2015-06-06,9,11,14,22,27,49,44,4,2,1,2,2,0,1
893,2015-06-04,18,24,28,31,39,49,44,3,3,0,1,2,2,1
894,2015-06-02,11,12,15,21,38,42,25,3,3,0,3,1,1,1
895,2015-05-30,9,16,28,36,42,45,2,2,4,1,1,1,1,2
896,2015-05-28,2,7,20,23,44,47,30,3,3,2,1,1,0,2
897,2015-05-26,7,10,15,37,42,45,41,4,2,2,1,0,1,2
898,2015-05-23,5,10,13,43,44,45,7,4,2,2,1,0,0,3
899,2015-05-21,16,18,19,36,42,47,46,2,4,0,3,0,1,2
900,2015-05-19,21,27,28,33,37,48,13,4,2,0,0,3,2,1
901,2015-05-17,21,32,36,37,44,46,47,2,4,0,0,1,3,2
902,2015-05-14,5,17,22,34,38,48,2,2,4,1,1,1,2,1
903,2015-05-12,3,7,15,25,26,47,10,5,1,2,1,2,0,1
904,2015-05-10,2,13,15,38,39,44,8,3,3,1,2,0,2,1
905,2015-05-07,3,7,14,21,25,29,6,5,1,2,1,3,0,0
906,2015-05-05,11,13,41,42,43,49,29,5,1,0,2,0,0,4
907,2015-05-02,7,10,12,16,26,49,40,2,4,2,2,1,0,1
908,2015-04-30,6,8,30,34,36,42,12,0,6,2,0,1,2,1
909,2015-04-28,1,8,28,31,36,45,9,3,3,2,0,1,2,1
910,2015-04-25,12,19,21,24,36,49,23,3,3,0,2,2,1,1
911,2015-04-23,3,4,7,8,26,36,31,2,4,4,0,1,1,0
912,2015-04-21,3,13,20,24,43,48,49,3,3,1,2,1,0,2
913,2015-04-18,12,17,29,31,41,47,38,5,1,0,2,1,1,2
914,2015-04-16,1,3,5,20,35,39,28,5,1,3,1,0,2,0
915,2015-04-14,30,31,35,40,42,48,6,2,4,0,0,1,3,2
916,2015-04-11,6,17,18,19,20,42,25,2,4,1,4,0,0,1
917,2015-04-09,10,11,31,34,37,38,14,3,3,1,1,0,4,0
918,2015-04-06,21,24,26,42,43,46,4,2,4,0,0,3,0,3
919,2015-04-04,9,12,26,29,44,45,19,3,3,1,1,2,0,2
920,2015-04-02,4,12,20,37,42,47,35,2,4,1,2,0,1,2
921,2015-03-31,2,5,10,27,36,46,7,2,4,3,0,1,1,1
922,2015-03-28,6,11,16,29,30,37,34,3,3,1,2,2,1,0
923,2015-03-26,2,6,9,16,39,49,29,3,3,3,1,0,1,1
924,2015-03-24,2,5,13,37,42,44,27,3,3,2,1,0,1,2
925,2015-03-22,7,26,30,33,34,38,5,2,4,1,0,2,3,0
926,2015-03-19,12,15,17,30,31,43,46,4,2,0,3,1,1,1
927,2015-03-17,1,5,11,23,34,47,14,5,1,2,1,1,1,1
928,2015-03-14,4,21,25,29,32,37,27,4,2,1,0,3,2,0
929,2015-03-12,14,17,23,24,25,37,34,4,2,0,2,3,1,0
930,2015-03-10,1,18,22,27,45,48,25,3,3,1,1,2,0,2
931,2015-03-07,6,8,12,16,32,49,37,1,5,2,2,0,1,1
932,2015-03-05,2,6,10,20,38,40,46,0,6,3,1,0,2,0
933,2015-03-03,13,17,25,27,46,49,19,5,1,0,2,2,0,2
934,2015-02-28,6,9,23,25,41,43,38,5,1,2,0,2,0,2
935,2015-02-26,10,12,20,22,25,33,27,2,4,1,2,2,1,0
936,2015-02-24,17,18,28,32,33,48,37,2,4,0,2,1,2,1
937,2015-02-22,15,20,28,29,42,46,35,2,4,0,2,2,0,2
938,2015-02-17,14,22,28,33,44,46,25,1,5,0,1,2,1,2
939,2015-02-14,2,10,12,21,25,35,26,3,3,2,1,2,1,0
940,2015-02-12,7,9,10,14,22,31,35,3,3,3,1,1,1,0
941,2015-02-10,2,17,23,30,34,41,14,3,3,1,1,2,1,1
942,2015-02-08,5,7,17,18,27,48,30,4,2,2,2,1,0,1
943,2015-02-05,13,16,17,18,22,45,10,3,3,0,4,1,0,1
944,2015-02-03,11,34,36,43,47,49,21,4,2,0,1,0,2,3
945,2015-01-31,5,7,14,17,46,47,27,4,2,2,2,0,0,2
946,2015-01-29,6,15,25,29,32,46,9,3,3,1,1,2,1,1
947,2015-01-27,4,5,10,13,28,35,12,3,3,3,1,1,1,0
948,2015-01-24,17,18,20,26,31,32,6,2,4,0,3,1,2,0
949,2015-01-22,8,16,21,30,42,46,32,1,5,1,1,2,0,2
950,2015-01-20,5,7,9,13,15,29,47,6,0,3,2,1,0,0
951,2015-01-17,14,15,16,25,27,30,11,3,3,0,3,3,0,0
952,2015-01-15,1,2,14,37,43,49,24,4,2,2,1,0,1,2
953,2015-01-13,16,21,27,37,40,43,14,4,2,0,1,2,2,1
954,2015-01-11,10,21,24,33,40,47,5,3,3,1,0,2,2,1
955,2015-01-08,8,18,19,28,37,44,13,2,4,1,2,1,1,1
956,2015-01-06,3,14,16,18,38,49,29,2,4,1,3,0,1,1
957,2015-01-03,8,15,31,35,42,44,39,3,3,1,1,0,2,2
958,2014-12-31,10,19,25,32,33,37,27,4,2,1,1,1,3,0
959,2014-12-29,1,25,30,33,39,40,7,4,2,1,0,2,3,0
960,2014-12-27,14,15,28,31,32,48,40,2,4,0,2,1,2,1
961,2014-12-25,12,19,24,43,46,47,30,3,3,0,2,1,0,3
962,2014-12-23,1,4,12,14,35,47,33,3,3,2,2,0,1,1
963,2014-12-21,2,25,30,36,37,43,22,3,3,1,0,2,2,1
964,2014-12-18,6,8,10,21,25,29,33,3,3,3,0,3,0,0
965,2014-12-16,1,7,14,31,34,42,16,3,3,2,1,0,2,1
966,2014-12-13,12,14,17,20,40,48,19,1,5,0,4,0,1,1
967,2014-12-11,1,7,13,32,35,39,31,5,1,2,1,0,3,0
968,2014-12-09,3,4,13,29,31,41,46,5,1,2,1,1,1,1
969,2014-12-06,17,18,21,25,40,48,16,3,3,0,2,2,1,1
970,2014-12-04,1,8,20,27,33,36,35,3,3,2,1,1,2,0
971,2014-12-02,1,4,13,27,47,49,33,5,1,2,1,1,0,2
972,2014-11-29,7,26,29,32,33,37,31,4,2,1,0,2,3,0
973,2014-11-27,2,20,22,30,40,45,44,1,5,1,1,2,1,1
974,2014-11-25,6,35,41,42,44,47,19,3,3,1,0,0,1,4
975,2014-11-22,2,12,17,27,32,33,44,3,3,1,2,1,2,0
976,2014-11-20,8,16,19,33,35,46,12,3,3,1,2,0,2,1
977,2014-11-18,2,6,17,24,37,49,46,3,3,2,1,1,1,1
978,2014-11-16,7,15,32,33,34,43,10,4,2,1,1,0,3,1
979,2014-11-13,21,36,41,42,46,49,6,3,3,0,0,1,1,4
980,2014-11-11,3,5,9,19,48,49,26,5,1,3,1,0,0,2
981,2014-11-08,7,8,15,32,34,39,43,3,3,2,1,0,3,0
982,2014-11-06,4,10,12,14,29,48,3,1,5,2,2,1,0,1
983,2014-11-04,16,23,29,30,37,38,33,3,3,0,1,3,2,0
984,2014-11-01,9,10,11,20,26,44,31,2,4,2,2,1,0,1
985,2014-10-30,3,19,29,36,47,49,33,5,1,1,1,1,1,2
986,2014-10-28,16,26,30,37,43,47,31,3,3,0,1,2,1,2
987,2014-10-25,1,13,39,40,41,43,18,5,1,1,1,0,2,2
988,2014-10-23,11,14,28,29,37,41,19,4,2,0,2,2,1,1
989,2014-10-21,6,9,17,18,29,34,42,3,3,2,2,1,1,0
990,2014-10-18,12,19,22,36,40,47,25,2,4,0,2,1,2,1
991,2014-10-16,4,9,34,39,48,49,18,3,3,2,0,0,2,2
992,2014-10-14,1,5,8,17,20,37,33,4,2,3,2,0,1,0
993,2014-10-11,26,29,34,35,37,47,8,4,2,0,0,2,3,1
994,2014-10-09,2,12,14,23,40,46,39,1,5,1,2,1,1,1
995,2014-10-07,12,13,26,33,42,49,48,3,3,0,2,1,1,2
996,2014-10-04,5,14,22,24,27,45,8,3,3,1,1,3,0,1
997,2014-10-02,4,10,24,29,33,35,7,3,3,2,0,2,2,0
998,2014-09-30,10,16,20,39,45,46,47,2,4,1,2,0,1,2
999,2014-09-28,6,10,12,26,28,35,24,1,5,2,1,2,1,0
1000,2014-09-25,3,19,42,44,48,49,38,3,3,1,1,0,0,4
1001,2014-09-23,12,13,20,28,41,43,23,3,3,0,3,1,0,2
1002,2014-09-20,3,16,32,38,40,48,27,1,5,1,1,0,3,1
1003,2014-09-18,6,16,20,25,27,45,29,3,3,1,2,2,0,1
1004,2014-09-16,4,15,17,22,34,43,35,3,3,1,2,1,1,1
1005,2014-09-13,3,12,40,43,48,49,32,3,3,1,1,0,1,3
1006,2014-09-09,7,25,27,36,39,42,31,4,2,1,0,2,2,1
1007,2014-09-04,11,14,34,36,43,46,1,2,4,0,2,0,2,2
1008,2014-09-02,26,28,37,43,45,47,25,4,2,0,0,2,1,3
1009,2014-08-30,15,18,24,27,39,49,6,4,2,0,2,2,1,1
1010,2014-08-28,11,17,24,27,31,38,49,4,2,0,2,2,2,0
1011,2014-08-26,25,29,32,33,37,44,47,4,2,0,0,2,3,1
1012,2014-08-23,4,12,14,24,32,38,13,0,6,1,2,1,2,0
1013,2014-08-21,10,14,26,29,30,31,18,2,4,1,1,3,1,0
1014,2014-08-19,2,5,27,32,42,46,16,2,4,2,0,1,1,2
1015,2014-08-16,23,26,27,37,42,46,15,3,3,0,0,3,1,2
1016,2014-08-14,4,8,14,23,48,49,11,2,4,2,1,1,0,2
1017,2014-08-12,7,9,27,31,36,39,32,5,1,2,0,1,3,0
1018,2014-08-09,1,9,15,31,33,41,37,6,0,2,1,0,2,1
1019,2014-08-07,5,14,31,32,36,46,11,2,4,1,1,0,3,1
1020,2014-08-05,5,7,8,18,24,29,14,3,3,3,1,2,0,0
1021,2014-08-02,3,22,23,26,42,48,28,2,4,1,0,3,0,2
1022,2014-07-31,12,22,27,35,44,48,38,2,4,0,1,2,1,2
1023,2014-07-29,11,13,15,31,37,47,19,6,0,0,3,0,2,1
1024,2014-07-26,1,4,15,17,36,42,40,3,3,2,2,0,1,1
1025,2014-07-24,4,5,21,31,36,38,14,3,3,2,0,1,3,0
1026,2014-07-22,1,3,14,16,24,41,13,3,3,2,2,1,0,1
1027,2014-07-19,1,9,30,40,41,48,49,3,3,2,0,1,1,2
1028,2014-07-17,1,20,28,30,42,43,10,2,4,1,1,2,0,2
1029,2014-07-15,2,5,9,32,41,42,44,3,3,3,0,0,1,2
1030,2014-07-12,3,11,13,23,40,49,43,5,1,1,2,1,1,1
1031,2014-07-10,1,2,9,17,22,25,8,4,2,3,1,2,0,0
1032,2014-07-08,4,16,22,27,38,39,36,2,4,1,1,2,2,0
1033,2014-07-05,10,14,32,36,37,38,47,1,5,1,1,0,4,0
1034,2014-07-03,14,17,34,37,43,48,20,3,3,0,2,0,2,2
1035,2014-06-29,15,23,26,38,46,47,21,3,3,0,1,2,1,2
1036,2014-06-26,2,20,40,42,47,48,28,1,5,1,1,0,1,3
1037,2014-06-24,18,24,25,30,31,35,36,3,3,0,1,3,2,0
1038,2014-06-21,2,17,37,40,45,49,48,4,2,1,1,0,2,2
1039,2014-06-19,3,17,24,30,31,44,7,3,3,1,1,2,1,1
1040,2014-06-17,3,4,15,16,23,45,21,4,2,2,2,1,0,1
1041,2014-06-12,3,18,21,41,44,45,15,4,2,1,1,1,0,3
1042,2014-06-10,1,30,32,35,37,44,40,3,3,1,0,1,3,1
1043,2014-06-07,4,8,13,19,44,48,27,2,4,2,2,0,0,2
1044,2014-06-04,10,11,25,33,40,46,6,3,3,1,1,1,2,1
1045,2014-06-02,3,13,19,20,36,39,15,4,2,1,3,0,2,0
1046,2014-05-31,2,10,28,32,37,47,31,2,4,2,0,1,2,1
1047,2014-05-29,4,14,19,24,26,48,35,1,5,1,2,2,0,1
1048,2014-05-27,3,10,16,30,34,44,1,1,5,2,1,1,1,1
1049,2014-05-24,2,4,14,30,39,41,49,2,4,2,1,1,1,1
1050,2014-05-22,9,17,28,31,35,37,19,5,1,1,1,1,3,0
1051,2014-05-20,10,16,33,34,44,47,6,2,4,1,1,0,2,2
1052,2014-05-18,9,12,21,27,37,45,7,5,1,1,1,2,1,1
1053,2014-05-15,9,12,16,24,34,35,7,2,4,1,2,1,2,0
1054,2014-05-13,9,20,22,32,35,41,8,3,3,1,1,1,2,1
1055,2014-05-11,11,16,26,38,45,49,5,3,3,0,2,1,1,2
1056,2014-05-08,2,10,12,30,37,39,48,2,4,2,1,1,2,0
1057,2014-05-06,10,23,33,36,39,44,30,3,3,1,0,1,3,1
1058,2014-05-03,2,6,13,16,30,36,25,1,5,2,2,1,1,0
1059,2014-05-01,1,14,28,29,37,43,30,4,2,1,1,2,1,1
1060,2014-04-29,2,8,15,26,37,45,14,3,3,2,1,1,1,1
1061,2014-04-26,9,12,22,27,36,47,46,3,3,1,1,2,1,1
1062,2014-04-24,1,17,28,32,39,40,16,3,3,1,1,1,3,0
1063,2014-04-22,1,3,12,29,36,41,14,4,2,2,1,1,1,1
1064,2014-04-19,20,21,32,35,46,47,3,3,3,0,1,1,2,2
1065,2014-04-17,12,14,17,23,24,45,42,3,3,0,3,2,0,1
1066,2014-04-15,6,14,16,28,41,45,27,2,4,1,2,1,0,2
1067,2014-04-12,6,18,20,28,43,45,13,2,4,1,2,1,0,2
1068,2014-04-10,4,18,21,31,42,49,25,3,3,1,1,1,1,2
1069,2014-04-08,11,24,31,45,46,47,6,4,2,0,1,1,1,3
1070,2014-04-05,10,19,38,39,44,45,31,3,3,1,1,0,2,2
1071,2014-04-03,4,9,25,26,27,28,3,3,3,2,0,4,0,0
1072,2014-04-01,22,33,36,43,48,49,25,3,3,0,0,1,2,3
1073,2014-03-29,2,10,12,18,24,33,11,1,5,2,2,1,1,0
1074,2014-03-27,7,23,35,42,45,49,36,5,1,1,0,1,1,3
1075,2014-03-25,22,28,35,36,44,45,6,2,4,0,0,2,2,2
1076,2014-03-22,11,20,21,26,34,49,4,3,3,0,2,2,1,1
1077,2014-03-20,1,9,18,25,37,48,14,4,2,2,1,1,1,1
1078,2014-03-18,2,17,23,35,42,48,27,3,3,1,1,1,1,2
1079,2014-03-15,2,15,21,24,29,46,27,3,3,1,1,3,0,1
1080,2014-03-13,7,10,17,19,20,22,30,3,3,2,3,1,0,0
1081,2014-03-11,4,6,15,28,30,33,27,2,4,2,1,2,1,0
1082,2014-03-08,2,3,16,17,24,32,40,2,4,2,2,1,1,0
1083,2014-03-06,6,10,20,27,39,46,38,2,4,2,1,1,1,1
1084,2014-03-04,3,13,16,19,27,33,22,5,1,1,3,1,1,0
1085,2014-03-02,11,16,19,21,38,46,34,3,3,0,3,1,1,1
1086,2014-02-27,5,9,15,24,28,35,44,4,2,2,1,2,1,0
1087,2014-02-25,8,26,39,40,41,43,5,3,3,1,0,1,2,2
1088,2014-02-22,2,23,24,29,33,35,14,4,2,1,0,3,2,0
1089,2014-02-20,3,5,24,26,31,40,45,3,3,2,0,2,2,0
1090,2014-02-18,15,21,23,25,34,45,35,5,1,0,1,3,1,1
1091,2014-02-15,2,14,30,32,36,45,11,1,5,1,1,1,2,1
1092,2014-02-13,19,23,25,40,46,49,30,4,2,0,1,2,1,2
1093,2014-02-11,7,10,24,25,27,29,19,4,2,2,0,4,0,0
1094,2014-02-09,20,21,35,37,47,48,14,4,2,0,1,1,2,2
1095,2014-02-06,26,27,32,33,37,45,39,4,2,0,0,2,3,1
1096,2014-02-04,11,13,15,39,48,49,37,5,1,0,3,0,1,2
1097,2014-01-30,2,3,4,16,26,36,45,1,5,3,1,1,1,0
1098,2014-01-28,4,20,27,30,31,37,18,3,3,1,1,2,2,0
1099,2014-01-25,5,20,37,38,43,48,6,3,3,1,1,0,2,2
1100,2014-01-23,4,5,18,21,27,31,7,4,2,2,1,2,1,0
1101,2014-01-21,8,20,23,34,37,49,44,3,3,1,1,1,2,1
1102,2014-01-18,3,17,18,26,28,44,38,2,4,1,2,2,0,1
1103,2014-01-16,9,15,16,17,18,37,33,4,2,1,4,0,1,0
1104,2014-01-14,9,11,27,31,33,34,21,5,1,1,1,1,3,0
1105,2014-01-12,3,16,36,39,42,44,17,2,4,1,1,0,2,2
1106,2014-01-09,4,15,16,28,39,45,25,3,3,1,2,1,1,1
1107,2014-01-07,9,16,30,31,38,41,46,3,3,1,1,1,2,1
1108,2014-01-04,6,16,31,32,44,49,43,2,4,1,1,0,2,2
1109,2014-01-02,1,36,38,43,46,49,21,3,3,1,0,0,2,3
1110,2013-12-31,7,9,12,40,42,44,14,2,4,2,1,0,1,2
1111,2013-12-28,4,9,20,32,42,43,5,2,4,2,1,0,1,2
1112,2013-12-25,4,21,25,45,47,49,6,5,1,1,0,2,0,3
1113,2013-12-22,12,13,18,41,43,49,39,4,2,0,3,0,0,3
1114,2013-12-19,4,14,31,39,43,47,27,4,2,1,1,0,2,2
1115,2013-12-17,1,8,15,19,20,33,47,4,2,2,3,0,1,0
1116,2013-12-14,6,14,15,38,46,49,29,2,4,1,2,0,1,2
1117,2013-12-12,10,19,24,28,31,34,27,2,4,1,1,2,2,0
1118,2013-12-10,1,8,17,30,36,46,16,2,4,2,1,1,1,1
1119,2013-12-07,5,18,24,26,41,44,20,2,4,1,1,2,0,2
1120,2013-12-05,1,16,17,19,26,46,29,3,3,1,3,1,0,1
1121,2013-12-03,1,17,24,29,39,40,21,4,2,1,1,2,2,0
1122,2013-11-30,2,15,19,34,42,45,14,3,3,1,2,0,1,2
